metric,step,value
ep_rew_mean,4933952,493.7950
ep_rew_mean,4942144,492.4830
ep_rew_mean,4950336,492.4830
ep_rew_mean,4958528,494.5470
ep_rew_mean,4966720,494.5470
ep_rew_mean,4974912,497.9090
ep_rew_mean,4983104,497.9090
ep_rew_mean,4991296,500.7550
ep_rew_mean,4999488,500.7550
ep_rew_mean,5007680,492.4180
ep_rew_mean,5015872,492.4180
ep_rew_mean,5024064,492.4030
ep_rew_mean,5032256,494.8800
ep_rew_mean,5040448,494.8800
ep_rew_mean,5048640,491.8210
ep_rew_mean,5056832,491.8210
ep_rew_mean,5065024,490.0000
ep_rew_mean,5073216,490.0000
ep_rew_mean,5081408,482.4100
ep_rew_mean,5089600,482.4100
ep_rew_mean,5097792,475.6950
ep_rew_mean,5105984,475.6950
ep_rew_mean,5114176,468.5220
ep_rew_mean,5122368,468.5220
ep_rew_mean,5130560,465.8320
ep_rew_mean,5138752,465.8320
ep_rew_mean,5146944,464.9650
ep_rew_mean,5155136,464.9650
ep_rew_mean,5163328,454.5720
ep_rew_mean,5171520,454.5720
ep_rew_mean,5179712,457.3370
ep_rew_mean,5187904,457.3370
ep_rew_mean,5196096,456.8450
ep_rew_mean,5204288,456.8450
ep_rew_mean,5208192,456.8450
ep_rew_mean,5216384,456.9420
ep_rew_mean,5224576,456.9420
ep_rew_mean,5232768,450.6490
ep_rew_mean,5240960,450.6490
ep_rew_mean,5248192,450.6490
ep_rew_mean,5249152,451.7810
ep_rew_mean,5256384,450.7050
ep_rew_mean,5257344,451.7810
ep_rew_mean,5264576,450.7050
ep_rew_mean,5272768,445.4870
ep_rew_mean,5280960,445.4870
ep_rew_mean,5289152,442.5400
ep_rew_mean,5297344,442.5400
ep_rew_mean,5305536,444.3640
ep_rew_mean,5313728,444.3640
ep_rew_mean,5321920,447.5380
ep_rew_mean,5330112,447.5380
ep_rew_mean,5338304,449.5460
ep_rew_mean,5346496,449.5460
ep_rew_mean,5354688,454.3100
ep_rew_mean,5362880,454.3100
ep_rew_mean,5371072,458.4060
ep_rew_mean,5379264,458.4060
ep_rew_mean,5387456,458.1750
ep_rew_mean,5395648,458.1750
ep_rew_mean,5403840,452.9940
ep_rew_mean,5412032,452.9940
ep_rew_mean,5420224,451.4120
ep_rew_mean,5428416,451.4120
ep_rew_mean,5436608,459.1760
ep_rew_mean,5444800,459.1760
ep_rew_mean,5452992,460.2660
ep_rew_mean,5461184,460.2660
ep_rew_mean,5469376,460.8440
ep_rew_mean,5477568,460.8440
ep_rew_mean,5485760,464.1370
ep_rew_mean,5493952,464.1370
ep_rew_mean,5502144,464.3140
ep_rew_mean,5510336,464.3140
ep_rew_mean,5518528,460.8660
ep_rew_mean,5526720,460.8660
ep_rew_mean,5528192,460.8660
ep_rew_mean,5536384,462.1690
ep_rew_mean,5544576,462.1690
ep_rew_mean,5552768,457.8700
ep_rew_mean,5560960,457.8700
ep_rew_mean,5569152,464.5520
ep_rew_mean,5577344,464.5520
ep_rew_mean,5585536,467.4790
ep_rew_mean,5593728,467.4790
ep_rew_mean,5601920,476.5360
ep_rew_mean,5610112,476.5360
ep_rew_mean,5618304,473.4380
ep_rew_mean,5626496,473.4380
ep_rew_mean,5634688,474.7080
ep_rew_mean,5642880,474.7080
ep_rew_mean,5648192,474.7080
ep_rew_mean,5651072,476.5430
ep_rew_mean,5656384,473.8520
ep_rew_mean,5659264,476.5430
ep_rew_mean,5664576,473.8520
ep_rew_mean,5667456,482.5870
ep_rew_mean,5672768,476.0670
ep_rew_mean,5675648,482.5870
ep_rew_mean,5680960,476.0670
ep_rew_mean,5689152,473.7680
ep_rew_mean,5697344,473.7680
ep_rew_mean,5705536,468.5550
ep_rew_mean,5713728,468.5550
ep_rew_mean,5721920,475.3410
ep_rew_mean,5730112,475.3410
ep_rew_mean,5738304,478.7410
ep_rew_mean,5746496,478.7410
ep_rew_mean,5754688,482.5320
ep_rew_mean,5762880,482.5320
ep_rew_mean,5768192,482.5320
ep_rew_mean,5771072,480.9470
ep_rew_mean,5776384,485.7580
ep_rew_mean,5779264,480.9470
ep_rew_mean,5784576,485.7580
ep_rew_mean,5787456,472.7950
ep_rew_mean,5792768,481.6660
ep_rew_mean,5795648,472.7950
ep_rew_mean,5800960,481.6660
ep_rew_mean,5809152,483.2950
ep_rew_mean,5817344,483.2950
ep_rew_mean,5825536,482.1850
ep_rew_mean,5833728,482.1850
ep_rew_mean,5841920,478.7970
ep_rew_mean,5850112,478.7970
ep_rew_mean,5858304,479.7580
ep_rew_mean,5866496,479.7580
ep_rew_mean,5874688,476.1350
ep_rew_mean,5882880,476.1350
ep_rew_mean,5891072,482.3170
ep_rew_mean,5899264,482.3170
ep_rew_mean,5907456,493.6230
ep_rew_mean,5915648,493.6230
ep_rew_mean,5923840,496.2730
ep_rew_mean,5928192,493.6230
ep_rew_mean,5932032,496.2730
ep_rew_mean,5936384,495.5950
ep_rew_mean,5940224,491.0400
ep_rew_mean,5944576,495.5950
ep_rew_mean,5948416,491.0400
ep_rew_mean,5952768,486.2580
ep_rew_mean,5960960,486.2580
ep_rew_mean,5969152,484.8940
ep_rew_mean,5977344,484.8940
ep_rew_mean,5985536,477.0250
ep_rew_mean,5993728,477.0250
ep_rew_mean,6001920,476.2740
ep_rew_mean,6008192,477.0250
ep_rew_mean,6010112,476.2740
ep_rew_mean,6016384,474.4490
ep_rew_mean,6024576,474.4490
ep_rew_mean,6032768,477.8400
ep_rew_mean,6040960,477.8400
ep_rew_mean,6049152,486.0220
ep_rew_mean,6057344,486.0220
ep_rew_mean,6065536,483.5620
ep_rew_mean,6073728,483.5620
